type	param	trial	n_bins	n_phenos	n_phenos_tested	n_qtls
binning	a1_16_0.8	trial0	636622	13928	13928	1162
binning	a1_16_0.8	trial1	639091	13970	13970	1150
binning	a1_16_0.8	trial2	635467	13946	13946	1168
binning	a1_16_0.9	trial0	1010940	13963	13963	1203
binning	a1_16_0.9	trial1	1006261	13958	13958	1170
binning	a1_16_0.9	trial2	1004440	13933	13933	1364
binning	a1_32_0.8	trial0	537855	13785	13785	1379
binning	a1_32_0.8	trial1	531402	13790	13790	1308
binning	a1_32_0.8	trial2	527106	13775	13775	1208
binning	a1_32_0.9	trial0	786311	13788	13788	1219
binning	a1_32_0.9	trial1	788826	13776	13776	1289
binning	a1_32_0.9	trial2	802820	13785	13785	1306
binning	a1_64_0.8	trial0	422087	13626	13626	1192
binning	a1_64_0.8	trial1	423570	13612	13612	1176
binning	a1_64_0.8	trial2	422231	13599	13599	1299
binning	a1_64_0.9	trial0	595469	13623	13623	1332
binning	a1_64_0.9	trial1	600930	13624	13624	1309
binning	a1_64_0.9	trial2	599757	13626	13626	1393
binning	a1_64_0.95	trial0	835751	13601	13601	1412
binning	a1_64_0.95	trial1	816492	13609	13609	1514
binning	a1_64_0.95	trial2	822888	13604	13604	1346
binning	a1_128_0.8	trial0	323175	13462	13462	1320
binning	a1_128_0.8	trial1	325703	13450	13450	1235
binning	a1_128_0.8	trial2	328197	13455	13455	1286
binning	a1_128_0.9	trial0	441282	13455	13455	1308
binning	a1_128_0.9	trial1	444401	13465	13465	1367
binning	a1_128_0.9	trial2	443667	13437	13437	1285
binning	a1_128_0.95	trial0	586245	13407	13407	1444
binning	a1_128_0.95	trial1	584198	13432	13432	1260
binning	a1_128_0.95	trial2	588582	13399	13399	1332
binning	a2_128	trial0	165035	11946	11946	1513
binning	a2_128	trial1	181806	12065	12065	1541
binning	a2_128	trial2	168001	11948	11948	1484
binning	a2_256	trial0	298728	12440	12440	1477
binning	a2_256	trial1	272222	12418	12418	1437
binning	a2_256	trial2	247311	12347	12347	1607
binning	a2_384	trial0	370959	12565	12565	1442
binning	a2_384	trial1	380085	12558	12558	1516
binning	a2_384	trial2	311611	12480	12480	1695
binning	a2_512	trial0	451479	12629	12629	1473
binning	a2_512	trial1	503920	12686	12686	1704
binning	a2_512	trial2	508299	12688	12688	1487
binning	a2_768	trial0	736038	12844	12844	1522
binning	a2_768	trial1	764683	12855	12855	1481
binning	a2_768	trial2	777018	12866	12866	1455
binning	a2_1024	trial0	819166	12894	12894	1471
binning	a2_1024	trial1	885685	12925	12925	1489
binning	a2_1024	trial2	940540	12934	12934	1385
binning	a3_128	trial0	172987	13266	13266	1637
binning	a3_128	trial1	167461	13235	13235	1652
binning	a3_128	trial2	186673	13323	13323	1752
binning	a3_256	trial0	298909	13526	13526	1576
binning	a3_256	trial1	276760	13504	13504	1533
binning	a3_256	trial2	254418	13483	13483	1565
binning	a3_384	trial0	379325	13611	13611	1479
binning	a3_384	trial1	387631	13608	13608	1561
binning	a3_384	trial2	388939	13632	13632	1483
binning	a3_512	trial0	514180	13688	13688	1469
binning	a3_512	trial1	458341	13656	13656	1450
binning	a3_512	trial2	508795	13692	13692	1530
binning	a3_768	trial0	707518	13774	13774	1542
binning	a3_768	trial1	668591	13766	13766	1559
binning	a3_768	trial2	755581	13805	13805	1506
binning	a3_1024	trial0	920815	13843	13843	1506
binning	a3_1024	trial1	982348	13854	13854	1434
binning	a3_1024	trial2	878034	13829	13829	1587
binning	n_4	trial0	156532	13427	13427	1249
binning	n_4	trial1	156532	13427	13427	1269
binning	n_4	trial2	156532	13427	13427	1285
binning	n_8	trial0	245986	13982	13982	1115
binning	n_8	trial1	245986	13982	13982	1117
binning	n_8	trial2	245986	13982	13982	1116
binning	n_12	trial0	337498	14155	14155	1383
binning	n_12	trial1	337498	14155	14155	1388
binning	n_12	trial2	337498	14155	14155	1395
binning	n_16	trial0	431545	14210	14210	1174
binning	n_16	trial1	431545	14210	14210	1177
binning	n_16	trial2	431545	14210	14210	1183
binning	n_24	trial0	620265	14250	14250	1171
binning	n_24	trial1	620265	14250	14250	1172
binning	n_24	trial2	620265	14250	14250	1187
binning	n_32	trial0	810985	14273	14273	1089
binning	n_32	trial1	810985	14273	14273	1072
binning	n_32	trial2	810985	14273	14273	1059
binning	w_16_128	trial0	883151	14072	14072	1519
binning	w_16_128	trial1	883151	14072	14072	1502
binning	w_16_128	trial2	883151	14072	14072	1504
binning	w_32_256	trial0	446737	13889	13889	1444
binning	w_32_256	trial1	446737	13889	13889	1448
binning	w_32_256	trial2	446737	13889	13889	1449
binning	w_64_512	trial0	227988	13489	13489	1527
binning	w_64_512	trial1	227988	13489	13489	1553
binning	w_64_512	trial2	227988	13489	13489	1531
model	pca_n6	trial0	298909	5436	5436	1540
model	pca_n6	trial1	298909	5436	5436	1532
model	pca_n6	trial2	298909	5436	5436	1554
model	pca_n8	trial0	298909	7144	7144	1674
model	pca_n8	trial1	298909	7144	7144	1666
model	pca_n8	trial2	298909	7144	7144	1701
model	pca_n10	trial0	298909	8799	8799	1718
model	pca_n10	trial1	298909	8799	8799	1724
model	pca_n10	trial2	298909	8799	8799	1690
model	pca_n12	trial0	298909	10414	10414	1675
model	pca_n12	trial1	298909	10414	10414	1693
model	pca_n12	trial2	298909	10414	10414	1684
model	pca_n14	trial0	298909	11991	11991	1697
model	pca_n14	trial1	298909	11991	11991	1669
model	pca_n14	trial2	298909	11991	11991	1729
model	pca_n16	trial0	298909	13526	13526	1560
model	pca_n16	trial1	298909	13526	13526	1572
model	pca_n16	trial2	298909	13526	13526	1580
model	pca_n20	trial0	298909	16498	16498	1601
model	pca_n20	trial1	298909	16498	16498	1605
model	pca_n20	trial2	298909	16498	16498	1608
model	pca_n24	trial0	298909	19334	19334	1524
model	pca_n24	trial1	298909	19334	19334	1508
model	pca_n24	trial2	298909	19334	19334	1518
model	fpca_xpos_disc	trial0	298909	3960	3960	1082
model	fpca_xpos_disc	trial1	298909	3960	3960	1067
model	fpca_xpos_disc	trial2	298909	3960	3960	1059
model	fpca_xpos_spline	trial0	298909	2498	2498	983
model	fpca_xpos_spline	trial1	298909	2498	2498	981
model	fpca_xpos_spline	trial2	298909	2498	2498	984
model	fpca_xbin_spline	trial0	298909	2687	2687	1153
model	fpca_xbin_spline	trial1	298909	2687	2687	1149
model	fpca_xbin_spline	trial2	298909	2687	2687	1164
